"H_TT1"	"H_TT2"	"H_TT3"	"H_TT5"	"H_TT7"	"H_TT11"	"H_TT12"	"H_TT16"	"H_TT20"	"H_TT21"	"H_TT23"	"H_TT24"	"H_TT28"	"H_TT41"	"H_TT51"	"H_TT52"	"H_TT54"	"H_TT55"	"H_TT56"	"H_TT60"	"H_TT62"	"H_TT65"	"H_TT69"	"H_TT71"	"H_TT74"	"H_TT81"	"H_BP1"	"H_BP4"	"H_BP5"	"H_BP7"
"Lentilactobacillus buchneri"	0	1.34178594584648e-05	1.96761116654224e-05	1.54989596846925e-05	7.94053422149679e-06	1.34002067460469e-05	1.07539222730396e-05	1.43719895672131e-05	1.44787208050169e-05	1.70355319759237e-05	0	1.97868984020266e-05	5.23932585594212e-06	1.06583186654567e-05	1.19678463860428e-05	7.60441334802675e-06	1.04336648456444e-05	9.341820117415e-06	1.54165034200715e-05	1.12189085210199e-05	1.3975670161561e-05	9.72680284632779e-06	9.30056242745962e-06	9.26594873347116e-06	3.5687347739872e-05	0	7.74425376370733e-06	0	0	1.83518611421871e-05
"Fructilactobacillus lindneri"	0	8.14655752835361e-06	1.67456269492956e-05	3.3511264183119e-06	7.94053422149679e-06	0	2.93688988392367e-05	1.59688772969034e-05	0	1.33521737108591e-05	0	8.57432264087818e-06	0	8.37439323714455e-06	1.32976070956031e-05	1.07729189097046e-05	1.1059684736383e-05	1.01203051271996e-05	7.17664814382641e-06	9.49292259470916e-06	2.88529964625775e-05	1.34848857642272e-05	3.5277995414502e-06	1.6004820539632e-05	3.18006068969156e-05	0	1.21003965057927e-05	0	0	1.01752893461632e-05
"Companilactobacillus heilongjiangensis"	0	0	1.36755953419248e-05	0	0	0	0	3.99221932422586e-06	0	0	0	1.81379902018577e-06	0	0	0	0	1.16857046271217e-05	0	0	0	0	0	0	0	1.40158230397517e-05	0	0	0	0	0
"Companilactobacillus ginsenosidimutans"	8.53383095049809e-06	0	1.81410958617369e-06	0	0	0	2.89286797988199e-06	0	0	0	0	4.94672460050664e-06	0	0	0	0	3.96479264134486e-06	3.30856129158448e-06	2.39221604794214e-06	0	0	0	0	1.48816752386052e-05	0	0	1.25844123660244e-05	0	0	1.45361276373759e-06
"Companilactobacillus farciminis"	0	0	2.23275025990608e-06	0	0	0	2.0753183333936e-06	1.02200814700182e-05	0	0	0	4.45205214045598e-06	0	0	0	0	0	0	0	0	0	0	0	0	1.76670038316198e-06	0	0	0	0	0
"Latilactobacillus sakei"	3.41353238019924e-05	3.83367413098994e-05	1.74433614055163e-05	2.13634309167383e-05	2.11747579239914e-05	8.04012404762816e-05	3.57206307081081e-05	3.59299739180327e-05	1.26688807043898e-05	2.90064463373836e-05	9.10332271279017e-06	3.77599977838674e-05	1.17884831758698e-05	1.90327119026012e-05	1.59571285147238e-05	1.7426780589228e-05	2.14933495820274e-05	3.09447791389372e-05	5.52867708857738e-05	3.36567255630598e-05	1.93856069982943e-05	1.30427583621214e-05	4.93891935803028e-05	4.91376069199228e-05	2.16715247001203e-05	0.000129527497324235	3.19450467752927e-05	5.48549695554919e-05	6.47252183320311e-05	2.94356584656863e-05
"Amylolactobacillus amylophilus"	5.83145114950703e-05	2.15644169868184e-05	1.10242044082863e-05	2.63901205442062e-05	2.29393210843241e-05	3.50957795729801e-05	0.000119236471518614	1.29347906104918e-05	0	7.36671653012918e-06	0	1.87975534819252e-05	5.89424158793488e-06	1.82714034264972e-05	1.59571285147238e-05	0.000101709028529858	1.83632501283341e-05	1.61535639530301e-05	1.78087194680137e-05	2.07118311157291e-05	2.25414034863887e-05	2.0779987898973e-05	1.69975796088055e-05	1.20738119860382e-05	9.54018206907469e-06	1.59068856363095e-05	1.64565392478781e-05	0	0.000180305965353515	2.50748201744735e-05
"Acetilactobacillus jinshanensis"	0.000331397101911009	2.73149281833033e-05	1.99552054479106e-05	1.63367412892705e-05	1.23519421223283e-05	2.80766236583841e-05	1.12570297478017e-05	1.26154130645537e-05	1.6288560905644e-05	2.07188902409883e-05	0	1.99517892220435e-05	0	1.5987477998185e-05	2.26059320625253e-05	2.21795389317447e-05	1.08510114394701e-05	6.81174383561511e-05	1.22268820228154e-05	2.24378170420398e-05	1.08198736734666e-05	1.43691405684388e-05	1.15455257720188e-05	1.3196957287065e-05	1.61358634995461e-05	2.49965345713435e-05	9.68031720463416e-06	0	0	2.03505786923263e-05
"Loigolactobacillus coryniformis"	0	1.24594409257173e-05	0	1.46611780801145e-05	0	7.65726099774111e-06	1.14456950508374e-05	0	0	0	0	8.90410428091196e-06	0	0	0	0	0	1.67374277103685e-05	9.03726062555918e-06	7.24914089050518e-05	4.73369473214163e-06	3.49280647663589e-05	8.65914432901413e-06	0	0	0	0	0	6.24136033916014e-05	4.66973100350702e-05
"Bombilactobacillus folatiphilus"	0	6.70892972923239e-06	4.6050474110563e-06	2.26201033236053e-05	2.73507289851556e-05	0	1.74829847479825e-05	3.7207484101785e-05	0	0	0	2.47336230025332e-06	0	0	0	0	5.21683242282218e-06	1.28450026614456e-05	7.70825171003577e-06	2.41638029683506e-05	1.78077087542471e-05	2.82961537347718e-05	1.31490710181326e-05	8.70437608295776e-06	5.5356612005742e-06	0	4.35614274208537e-06	0	0	5.26934626854878e-06
