"D_AM2"	"D_AM4"	"D_AM7"	"D_AM9"	"D_AM10"	"D_AM11"	"D_AM12"	"D_AM13"	"D_AM16"	"D_AM18"	"D_AM19"	"D_AM21"	"D_AM22"	"D_AM24"	"D_AM25"	"D_AM26"	"D_AM27"	"D_AM28"	"D_AM29"	"D_AM36"	"D_AM37"	"D_AM39"	"D_AM40"	"D_AM41"	"D_AM42"	"D_AM43"	"D_AM44"	"D_AM45"	"D_AM47"	"D_AM48"	"H_TT1"	"H_TT2"	"H_TT3"	"H_TT4"	"H_TT5"	"H_TT7"	"H_TT11"	"H_TT12"	"H_TT16"	"H_TT20"	"H_TT21"	"H_TT23"	"H_TT24"	"H_TT28"	"H_TT41"	"H_TT51"	"H_TT52"	"H_TT54"	"H_TT55"	"H_TT56"	"H_TT60"	"H_TT62"	"H_TT65"	"H_TT69"	"H_TT71"	"H_TT74"	"D_TT76"	"H_TT81"	"D_TT88"	"H_BP1"	"H_BP3"	"H_BP4"	"H_BP5"	"H_BP7"
"Weissella jogaejeotgali"	8	0	12	0	15	0	0	0	29	0	0	0	52	0	0	0	0	146	9	0	0	36	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	51	39	0	0	43	0	15	0	0	33	0	0	0	0	0	0	17	9	0	0	6	0	0	0	0	0
"Lapidilactobacillus dextrinicus"	13	6	19	33	92	8	11	11	15	23	20	0	45	9	11	24	0	48	20	7	0	54	5	0	0	7	0	0	5	0	0	0	109	0	0	5	8	168	88	19	0	0	64	0	18	0	24	51	14	0	0	14	25	11	13	71	0	0	0	10	0	0	0	24
"Periweissella cryptocerci"	11	67	37	66	199	16	28	17	52	26	12	20	184	0	28	12	9	77	29	23	13	73	9	16	0	25	9	93	9	0	23	31	81	0	6	12	16	304	72	9	0	0	53	8	12	10	27	42	83	20	33	112	79	25	47	119	6	0	0	58	8	0	0	78
"Apilactobacillus apisilvae"	9	18	0	0	26	0	0	0	0	0	6	0	12	0	0	8	0	0	0	10	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	10	0	0	0	0	0	0	0	14	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Streptococcus pantholopis"	713	0	0	0	13	0	0	0	0	0	0	0	8	0	0	0	50	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	9	11	0	0	5	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
"Streptococcus mitis"	246	119	232	248	247	111	73	28	330	240	171	143	74	113	301	87	8	451	300	596	52	102	1288	1920	39	88	240	542	57	175	206	75	51	571	206	41	40	778	619	339	174	136	373	252	21	51	140	333	91	514	127	1770	2435	167	82	88	197	219	120	103	584	172	257	448
"Streptococcus pyogenes"	613	560	916	1052	4319	769	909	159	442	354	392	383	494	29	400	606	317	1829	1027	1344	199	639	624	178	142	113	600	780	160	100	4748	1128	571	41	518	70	1110	6534	3432	2319	54	108	1917	1397	67	39	786	3486	1506	2073	1286	1402	1184	770	1018	1376	127	63	76	249	1836	0	906	1217
"Streptococcus oralis"	148	100	58	324	369	175	56	37	227	144	139	70	0	311	46	57	34	219	193	553	44	51	1108	13853	66	79	236	348	22	143	140	70	48	590	160	0	49	521	274	202	212	76	391	477	12	41	7	111	0	586	118	2413	1021	164	39	76	149	184	127	0	189	166	609	364
"Streptococcus sanguinis"	114	95	67	171	257	70	52	29	76	51	83	75	212	36	34	38	45	275	48	423	45	77	547	1726	82	10	108	139	24	111	85	48	54	414	69	0	45	232	408	78	74	72	313	339	12	21	64	147	76	288	52	870	394	186	69	79	48	187	81	32	103	75	202	497
"Streptococcus sp. Marseille-Q3533"	20	0	0	125	23	14	10	0	0	0	6	0	0	0	17	11	0	7	0	42	0	0	23	414	10	0	10	73	0	18	0	0	7	243	21	0	0	20	10	0	42	8	0	0	0	0	13	0	0	14	0	37	17	0	0	6	0	10	0	0	93	13	16	58
"Streptococcus sp. oral taxon 061"	14	7	25	50	34	15	27	7	11	11	9	0	0	10	0	0	14	32	0	58	0	0	74	0	0	0	22	0	0	33	35	0	9	275	0	0	0	9	17	47	0	0	26	0	0	0	0	0	0	36	23	223	0	11	7	0	10	0	22	30	1076	0	0	37
"Streptococcus sp. NPS 308"	10	0	0	0	10	8	0	0	0	23	0	0	0	0	0	0	0	22	13	24	0	0	81	304	0	0	17	11	0	0	0	0	0	13	17	0	0	49	20	0	0	14	13	101	0	11	0	0	0	20	0	226	89	0	0	0	0	10	0	0	42	0	89	0
"Streptococcus sp. HN38"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Streptococcus toyakuensis"	86	15	40	21	18	25	23	7	70	30	10	0	0	0	9	15	0	0	34	48	21	0	275	548	32	0	18	16	0	15	0	0	6	31	0	0	0	100	18	35	46	0	95	0	0	0	0	29	0	30	0	341	174	19	0	0	0	0	11	38	30	60	0	30
"Streptococcus gordonii"	25	27	18	74	26	35	24	6	60	49	8	9	0	13	8	14	274	104	33	242	16	15	267	404	33	110	87	50	5	74	52	19	13	143	53	0	24	33	221	0	52	63	80	0	6	12	0	10	0	154	13	568	93	88	6	30	72	67	48	8	87	66	61	149
"Streptococcus vestibularis"	27	0	0	30	0	0	0	0	0	0	0	0	0	246	0	0	0	13	0	9	8	0	16	179	6	30	17	10	0	0	0	0	0	0	0	0	0	0	50	14	31	29	13	0	0	0	23	0	0	0	12	0	0	10	21	11	17	33	9	0	0	0	0	27
"Streptococcus parasanguinis"	19	12	20	75	38	12	24	0	38	37	27	0	0	30	9	17	0	9	6	109	0	52	107	557	14	17	16	31	0	24	261	320	8	36	0	0	13	9	68	0	54	50	29	44	9	0	11	22	0	11	0	420	65	23	0	10	27	18	18	62	19231	41	103	91
"Streptococcus equi"	12	36	12	144	47	6	9	0	0	0	0	0	26	0	7	0	0	23	23	16	0	9	10	6	0	0	6	11	7	0	9	22	15	0	11	11	10	141	27	225	0	0	207	7	0	0	14	208	11	227	0	48	10	11	14	10	0	0	5	6	153	0	0	33
"Streptococcus dysgalactiae"	25	258	117	192	403	75	98	19	64	20	32	264	44	0	26	0	36	389	400	289	176	469	146	36	25	91	33	201	43	104	0	97	35	142	138	121	61	687	308	473	0	0	697	590	0	0	228	1720	467	1333	630	2987	422	280	292	23	229	55	0	243	1992	0	0	131
"Streptococcus constellatus"	1298	3484	1047	2163	8744	3305	7439	7	1912	987	2002	2058	1131	9	6	1415	1914	3687	2390	7829	2029	3378	1645	8	0	4986	1102	2471	1225	0	26	8202	249	0	2744	1517	5813	62254	105	32	11	0	15335	106	7	12	1326	7035	6420	26409	5	11723	7213	9242	4966	1349	0	3739	0	46	12986	1157	0	4390
"Streptococcus agalactiae"	41	155	1087	499	504	173	106	27	124	77	60	408	104	0	65	72	24	478	237	1031	55	184	263	129	40	16	86	120	133	0	0	96	153	854	50	29	98	2389	793	1892	403	0	1692	1435	201	568	1541	2481	195	1927	309	2734	312	142	101	302	350	239	304	569	1962	0	0	187
"Streptococcus ilei"	17	0	6	0	7	0	0	0	0	0	0	0	0	0	0	12	0	0	0	10	0	0	24	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	51	0	0	127	0	0	0	0	0	0	0	68	0	0	0
"Streptococcus infantis"	15	144	166	191	257	46	45	15	57	32	65	17	88	73	33	36	52	163	168	136	77	182	49	323	29	40	48	67	45	6	120	84	68	160	50	15	68	1539	165	104	0	88	301	55	14	12	452	231	174	247	67	436	219	96	69	87	21	17	30	85	435	0	161	284
"Streptococcus pseudopneumoniae"	16	0	14	49	30	0	7	13	69	19	0	0	0	0	6	0	0	0	9	60	0	0	128	181	0	23	8	94	0	26	119	0	0	32	7	0	0	37	0	90	0	48	26	0	0	0	9	0	6	22	0	230	109	18	0	0	0	12	19	0	30	0	43	47
"Streptococcus suis"	163	1528	1552	1482	2637	396	547	47	574	279	238	165	1347	79	55	181	358	1194	1156	2083	190	1140	343	181	190	137	540	586	95	82	936	352	785	0	1137	0	566	17614	2146	1749	0	324	15713	538	103	431	3721	3045	1417	2986	1133	1755	2187	897	1112	761	345	408	238	581	4687	0	0	1428
"Streptococcus lactarius"	8	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	10	0	8	0	0	18	0	10	0	6	0	0	0	20	0	0	10	0	0	0	14	21	10	0	0	7	0	0	0	0	0	0	9	0	0	0	14	0	0	0	0	0	0	143	0	0	17
"Streptococcus parasuis"	9	0	0	0	21	7	0	0	0	52	0	0	0	0	0	0	0	8	0	26	0	0	26	478	0	0	15	12	0	0	0	6	0	10	0	0	6	10	0	20	22	0	13	31	0	0	0	0	6	23	0	0	77	0	0	0	0	0	0	0	32	15	0	41
"Streptococcus salivarius"	9	62	18	88	81	18	10	11	44	16	0	23	20	39	13	0	68	66	50	162	12	36	409	1104	29	25	53	86	25	12	42	55	6	47	53	0	34	100	115	106	0	99	111	246	0	29	15	132	25	102	54	145	156	57	40	20	150	53	25	39	303	20	90	278
"Streptococcus gwangjuense"	8	7	12	39	18	35	0	15	12	9	0	38	0	0	0	0	0	0	41	35	7	0	113	43	20	0	14	0	0	8	35	9	13	35	0	0	0	0	49	37	35	0	17	0	0	0	0	0	0	34	77	65	358	11	0	0	0	0	11	0	164	38	0	119
"Streptococcus iniae"	7	0	6	9	28	0	5	0	0	7	0	50	12	0	0	0	0	17	12	7	0	5	0	0	0	6	0	14	0	0	0	8	27	0	0	0	0	49	10	11	0	0	13	0	0	0	6	19	9	22	0	8	7	0	9	18	0	0	0	0	13	0	0	21
"Lactococcus cremoris"	76	141	94	75	506	75	73	32	161	45	44	0	222	46	0	78	53	173	91	90	61	104	137	804	40	100	55	127	69	0	169	70	89	11	232	31	37	952	369	207	128	33	319	78	37	40	163	235	128	292	78	667	128	28	123	105	38	59	28	75	0	0	0	105
"Lactococcus lactis"	27	79	0	55	495	21	31	0	0	0	0	0	0	0	0	34	31	19	43	27	25	28	96	0	0	0	20	45	0	0	42	38	0	266	25	52	17	78	0	0	0	100	61	282	0	0	0	27	24	64	0	50	231	9	0	19	54	0	0	0	560	12	46	89
"Enterococcus faecium"	258	2283	1627	1415	2394	2412	4509	315	696	660	1220	44	1759	108	988	925	572	1901	2855	1986	232	2820	340	1703	713	1065	465	4674	933	410	2541	836	1613	39	3050	238	983	36087	2019	614	164	126	2045	586	371	97	4839	1447	2874	2132	790	5124	1480	2054	1297	2524	65	304	214	1099	1991	91	1815	3119
