name	taxonomy_id	taxonomy_lvl	D_AM2	D_AM3	D_AM4	D_AM5	D_AM6	D_AM7	D_AM8	D_AM9	D_AM10	D_AM11	D_AM12	D_AM13	D_AM14	D_AM15	D_AM16	D_AM17	D_AM18	D_AM19	D_AM20	D_AM21	D_AM22	D_AM23	D_AM24	D_AM25	D_AM26	D_AM27	D_AM28	D_AM29	D_AM32	D_AM34	D_AM36	D_AM37	D_AM38	D_AM39	D_AM40	D_AM41	D_AM42	D_AM43	D_AM44	D_AM45	D_AM46	D_AM47	D_AM48	D_TT76	D_TT88	H_BP1	H_BP3	H_BP4	H_BP5	H_BP6	H_BP7	H_TT1	H_TT2	H_TT3	H_TT4	H_TT5	H_TT7	H_TT8	H_TT9	H_TT10	H_TT11	H_TT12	H_TT15	H_TT16	H_TT17	H_TT18	H_TT20	H_TT21	H_TT23	H_TT24	H_TT28	H_TT29	H_TT41	H_TT51	H_TT52	H_TT54	H_TT55	H_TT56	H_TT59	H_TT60	H_TT62	H_TT65	H_TT69	H_TT71	H_TT74	H_TT81
Corynebacterium minutissimum	38301	S	54	122	17	19	92	13	58	106	85	103	78	27	7	48	10	61	29	78	84	225	0	8	0	12	28	100	79	10	17	65	46	0	0	0	33	0	278	0	8	0	0	0	0	0	0	44	0	0	0	96	0	8	14	38	95	70	0	157	0	98	20	17	0	133	137	0	26	117	0	0	125	29	0	0	309	0	0	13	712	0	108	0	344	1080	6	14
Corynebacterium simulans	146827	S	39	281	229	17	16	0	46	47	35	0	0	0	0	34	6	0	14	5	17	28	0	8	16	0	7	13	13	43	15	11	17	78	112	0	18	0	0	0	0	13	0	0	0	9	0	0	1507	11	0	37	5005	19	319	10	14	0	0	34	29	0	0	783	4849	101	31	3186	8856	908	5	323	49	0	0	0	463	0	0	17	50	0	642	0	865	1548	12	0
Corynebacterium ihumii	1232427	S	82	300	22	169	88	21	124	38	76	46	13	15	0	10	327	0	49	103	867	83	0	0	0	0	45	38	127	0	0	65	137	0	700	0	168	0	528	0	0	0	18	0	0	16	0	0	16	0	0	45	290	0	45	9	163	81	0	200	0	0	47	0	0	48	20	0	0	0	0	29	0	0	0	0	0	0	0	13	0	0	137	47	0	0	0	10
Corynebacterium jeikeium	38289	S	32	0	26	13	0	9	55	57	107	46	39	22	11	18	34	23	117	52	12	38	6	61	0	0	27	40	84	26	13	44	0	43	0	21	98	621	0	0	8	0	9	0	0	12	0	69	0	0	0	115	94	7	48	27	83	44	0	2268	0	24	15	459	13	1761	39	0	0	74	0	0	0	14	0	0	0	0	0	30	1026	0	166	0	36	806	10	0
Corynebacterium durum	61592	S	22	46	60	29	36	25	0	111	178	60	16	0	27	180	35	341	109	0	26	0	5	94	19	0	0	0	117	61	22	48	128	28	431	14	184	346	28	10	25	5	25	9	51	60	46	135	86	69	44	568	282	30	39	9	88	10	0	79	6	0	27	226	63	484	438	9	25	59	20	122	149	31	0	0	7	8	6	56	25	11	171	124	98	227	15	87
Corynebacterium genitalium	38288	S	24	58	0	0	43	12	78	7	31	49	21	11	21	22	19	39	79	51	27	24	0	17	0	13	51	189	59	19	34	9	9	13	26	14	26	377	124	0	17	0	0	0	24	0	0	9	11	0	19	58	43	10	0	36	79	44	53	582	21	25	21	37	11	3114	43	0	0	104	0	16	0	6	9	0	0	0	0	10	3378	0	41	0	19	27	0	0
Corynebacterium glaucum	187491	S	24	28	7	0	0	0	19	16	7	0	0	0	19	7	24	19	0	7	36	0	0	72	0	0	8	97	12	0	5	0	21	21	28	5	35	94	31	24	0	0	0	0	8	0	9	0	0	0	11	0	906	0	0	0	5	0	0	1090	84	6	0	705	12	806	43	0	0	50	0	130	0	317	0	0	0	47	0	31	1786	0	237	88	95	3967	0	0
Corynebacterium urealyticum	43771	S	22	20	0	0	0	17	8	0	0	0	0	0	7	20	0	6	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0	7	6	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	1891	11	8	0	18	0	0	101	0	0	0	581	1872	20	6	116	64	129	0	110	0	0	7	0	305	530	16	224	595	0	2963	12	12	0	0	7
Corynebacterium glucuronolyticum	39791	S	19	0	53	25	71	234	0	56	40	111	20	49	81	0	0	35	112	77	54	2259	0	60	6	14	54	11	160	7	0	36	35	142	61	45	33	245	146	40	20	37	0	0	27	35	18	185	8390	124	112	70	75486	22	18	87	308	80	0	133	17106	39	178	14937	111984	65	99	9129	8790	3015	13	1991	1273	615	247	151	13920	21937	1496	6830	25	60	94717	1941	61	366	56	532
Corynebacterium confusum	71254	S	19	0	0	18	0	0	36	27	22	0	13	0	0	13	0	7	0	0	0	24	0	0	0	0	0	0	9	0	0	0	13	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	41	0	0	0	14	11	0	513	0	0	0	22	36	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	7	29	22	7	0	0
Corynebacterium appendicis	163202	S	20	0	30	80	0	0	157	55	53	69	15	34	6	12	20	22	16	20	0	135	8	9	0	5	18	22	17	10	5	11	39	0	100	17	33	0	224	8	8	24	5	0	6	0	15	65	12	26	0	18	729	6	12	16	50	56	0	0	17	8	25	90	12	315	0	0	7	32	0	0	0	0	0	9	0	0	0	166	121	0	167	42	16	0	0	15
Corynebacterium lujinxingii	2763010	S	19	47	22	0	0	0	56	15	22	16	10	12	0	9	432	10	24	0	28	16	0	0	0	0	0	18	21	0	0	18	15	10	64	10	10	90	437	9	0	0	6	0	0	0	0	0	19	0	7	67	271	0	0	0	55	18	0	84	0	0	6	59	12	80	12	0	0	0	0	0	0	47	0	0	0	6	0	44	125	0	46	37	0	396	0	17
Corynebacterium coyleae	53374	S	16	0	0	0	0	0	176	99	8	0	12	0	131	7	32	13	23	0	0	0	7	0	0	7	0	34	24	0	0	0	44	8	0	0	25	61	257	0	0	0	9	0	0	0	6	0	0	0	0	0	722	0	8	0	99	0	0	1785	22	0	0	7308	14	132	44	0	0	167	0	0	0	1596	0	0	14	42	0	71	14	0	7472	14	13	687	22	0
Corynebacterium stationis	1705	S	13	0	6	18	0	8	21	11	6	0	0	0	8	19	0	0	5	0	31	0	0	0	0	0	0	0	0	9	0	0	25	16	12	0	11	0	0	0	14	7	0	0	0	5	0	0	196	0	0	0	1954	0	0	0	6	0	0	0	18	0	0	74	1348	46	0	175	497	73	0	43	0	0	0	0	204	345	29	554	10	0	1105	74	26	45	0	0
Corynebacterium macginleyi	38290	S	13	25	6	13	0	0	16	33	0	0	5	0	0	21	0	73	0	28	105	26	0	31	0	0	0	11	36	35	15	0	19	5	205	0	33	0	20	0	0	49	5	0	0	0	16	39	29	24	0	105	63	0	18	0	157	0	0	78	0	0	0	9	1347	76	160	0	9	59	0	0	0	10	0	0	155	7	0	16	870	0	0	64	871	486	8	0
Corynebacterium hadale	2026255	S	24	56	0	0	0	0	0	0	0	72	34	20	14	0	0	0	0	16	87	47	0	29	0	0	0	52	8	0	0	64	45	0	335	157	0	0	0	0	0	43	0	17	0	13	48	0	158	37	0	0	1665	0	0	13	115	39	112	0	243	116	21	31	22	1108	86	39	55	71	0	16	0	25	0	0	92	78	0	46	1309	0	901	8	0	936	10	0
Corynebacterium callunae	1721	S	11	66	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	36	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	18	0	0	0	6	0	0	0	316	0	0	18	755	40	25	0	0	15	0	7	0	0	0	0	7	0	0	0	0	0	0	0	14	0	0	5
Corynebacterium diphtheriae	1717	S	229	307	16826	0	0	280	659	572	994	1728	2681	298	15061	6	0	2293	1120	432	508	0	0	16343	154	0	259	633	370	8155	1088	65	1509	102	0	798	938	586	2074	2502	325	1396	302	4822	0	4248	212	453	13261	0	9	13	14883	0	1038	1006	288	939	0	7333	6202	0	535	35095	17402	8601	185	13224	25689	0	913	3192	0	10076	0	0	4737	311	2151	6850	4415	511	5882	1136	7128	1023	29	5172
Corynebacterium auris	44750	S	10	12	0	0	0	8	0	6	10	0	0	0	0	0	0	0	0	9	0	18	0	5	0	0	14	69	0	5	0	0	18	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	15	0	0	785	0	8	0	15	0	0	0	188	0	0	31	342	166	14	0	0	20	0	20	0	0	0	0	0	0	0	6	164	0	0	0	0	34	0	5
Corynebacterium propinquum	43769	S	8	130	25	31	119	0	38	19	21	11	0	0	0	318	71	41	0	6	214	18	0	65	6	0	5	22	9	15	6	35	20	0	0	0	9	81	60	26	8	143	0	0	6	0	0	13	24	21	0	221	37	60	19	5	29	0	0	0	21	0	0	16	6	46	66	0	0	30	0	0	41	0	0	0	7	0	0	5	0	0	150	32	60	494	16	0
Corynebacterium occultum	2675219	S	7	0	0	0	0	0	0	0	5	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	6	0	0	0	0	0	0	9	0	14	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	7	24	0	0	9	0
Corynebacterium pseudodiphtheriticum	37637	S	8	34	5	27	21	7	8	20	18	15	10	0	0	44	162	28	0	5	37	0	0	5	9	0	5	7	6	12	0	16	18	0	0	11	43	32	41	66	0	33	0	0	15	0	12	89	23	12	17	416	34	12	19	0	19	0	0	0	0	6	21	70	2026	123	54	0	0	88	0	0	16	0	8	11	6	0	0	22	0	0	251	0	18	138	9	13
Corynebacterium fournieri	1852390	S	8	12	0	7	19	0	52	0	19	25	7	0	6	0	42	9	0	8	49	56	0	0	12	0	0	51	26	16	5	0	16	0	0	0	23	0	169	0	10	7	0	5	22	11	11	0	0	0	0	0	953	0	0	0	17	0	0	92	0	11	6	130	10	969	15	0	12	78	0	0	0	0	0	0	0	0	0	102	115	0	81	0	20	13	0	0
Corynebacterium gottingense	2041036	S	11	14	0	22	0	0	0	0	11	124	22	59	0	0	0	84	67	23	26	98	0	0	0	0	11	60	0	0	0	0	29	0	399	147	0	68	0	0	0	39	0	20	0	0	0	0	39	0	0	25	194	0	23	35	278	14	0	0	0	210	50	0	0	384	81	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	1374	26	21	87	0	35
Corynebacterium yudongzhengii	2080740	S	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	17	0	0	34	8	46	0	0	0	0	0	0	0	12	0	0	0	25	0	8	33	0	0	0	7	182	0	0
