H_TT1	H_TT2	H_TT3	H_TT5	H_TT7	H_TT11	H_TT12	H_TT16	H_TT20	H_TT21	H_TT23	H_TT24	H_TT28	H_TT41	H_TT51	H_TT52	H_TT54	H_TT55	H_TT56	H_TT60	H_TT62	H_TT65	H_TT69	H_TT71	H_TT74	H_TT81	H_BP1	H_BP4	H_BP5	H_BP7
Staphylococcus warneri	70	55	33	184	86	28	162	26	38	232	45	175	272	18	6	45	57	16	281	21	1797	120	62	55	25	153	6	90	396	356
Staphylococcus cohnii	10	5	47	26	0	0	31	27	5	19	17	14	43	11	0	20	11	0	14	0	43	69	11	7	52	0	34	29	28	44
Staphylococcus condimenti	9	23	16	49	11	26	102	105	18	0	0	75	15	9	0	53	38	136	63	23	95	93	38	152	91	5	70	0	0	145
Staphylococcus sp. T93	0	1522	758	0	0	1081	9979	1729	1366	0	0	1979	0	260	0	4379	453	4142	1183	1405	3460	1030	1686	6814	681	1101	2341	0	0	6139
Staphylococcus xylosus	22	17	13	36	0	0	44	22	0	14	81	15	11	7	0	0	0	8	51	0	43	149	14	27	0	24	23	5	89	99
Staphylococcus pseudintermedius	67	75	130	127	24	102	541	133	45	11	6	152	13	23	14	179	94	152	127	24	258	205	105	214	109	15	66	5	23	439
Staphylococcus nepalensis	0	14	32	37	24	28	260	50	0	0	0	37	18	9	6	38	28	69	18	10	69	62	17	36	20	0	27	0	0	120
Staphylococcus saprophyticus	0	0	41	83	0	56	16	23	0	30	38	29	95	7	0	33	0	6	0	13	0	145	6	29	18	11	14	0	55	102
Staphylococcus equorum	55	38	10	104	0	47	51	33	0	0	25	35	0	0	0	65	17	0	29	20	83	368	39	0	35	18	0	0	117	0
Abyssicoccus albus	16	139	21	184	17	31	218	65	22	0	0	23	1891	5	0	17	403	38	76	14	324	88	47	171	5	24	441	154	58	127
Jeotgalicoccus sp. ATCC 8456	0	31	9	57	14	21	2385	23	0	0	0	36	0	0	0	17	26	62	67	8	384	69	16	43	14	0	16	0	0	400
Bacillus cereus	1504	8278	9836	17458	1873	14576	100742	36389	10126	4790	3512	39061	5621	2259	1454	24309	6274	45053	27599	11774	14871	25923	20985	19603	7070	1769	8836	362	1908	11987
Bacillus anthracis	1315	10070	13551	11376	13819	7864	232017	15830	5392	2734	830	21646	4917	3455	2868	16011	7121	32464	10540	8544	38897	9056	13539	31417	8093	1610	17102	648	2160	15150
Bacillus velezensis	333	1705	1813	4369	1131	2768	25444	3615	752	300	140	3206	462	356	318	2705	1485	5247	2729	1210	4197	3549	2198	4138	2405	234	2248	324	480	3489
Bacillus amyloliquefaciens	157	885	736	2449	446	805	6533	916	311	162	308	1569	103	39	120	941	428	3044	746	492	1374	1163	1092	1903	556	78	3846	30	25	500641
Bacillus subtilis	1171	1735	1409	3909	3192	4122	24366	2585	382	193	167	2602	721	420	256	2027	844	4885	3659	547	4736	4727	3067	4241	1591	632	2429	113	410	3492
Bacillus halotolerans	8	16	112	49	0	42	359	65	13	0	0	90	12	15	0	78	29	93	37	13	42	46	28	44	112	0	42	0	11	72
Bacillus paralicheniformis	0	33	18	65	41	24	50	61	27	0	31	91	0	5	12	49	47	233	88	34	145	125	45	157	23	18	116	0	0	199
Bacillus altitudinis	20	195	175	236	70	171	1416	498	163	44	24	527	29	55	50	223	242	640	256	180	443	467	237	339	206	23	283	23	14	477
Heyndrickxia coagulans	89	629	1022	661	183	301	4080	590	199	79	100	947	107	123	123	1043	672	1702	816	237	904	933	566	530	1634	65	443	28	168	1744
Lysinibacillus timonensis	0	167	65	31	120	79	678	82	21	5	0	179	14	12	31	54	62	477	73	167	608	317	71	101	93	19	338	0	9	339
Geobacillus thermoleovorans	0	19855	0	18842	525	10249	539	902	0	0	0	11334	3289	0	616	0	0	106156	5634	17854	42112	25763	14349	64660	0	3541	49194	3352	0	21784
Priestia megaterium	772	54	90	46	7	437	1175	162	61	12	7	101	9	11	12	911	251	161	824	37	59	160	22	418	60	12	98	5	34	65
Neobacillus sp. PS2-9	21	37	34	34	33	23	695	193	47	7	18	147	0	18	13	49	52	150	40	32	129	70	52	67	63	0	33	0	7	117
Peribacillus frigoritolerans	25	17	23	24	29	30	793	75	16	15	0	41	0	6	0	42	36	50	44	12	132	75	52	37	39	0	44	0	18	101
Gemella morbillorum	68	0	6	26	0	0	80743	141	112	0	13	0	0	0	0	0	8	0	455	0	0	137	30	9	0	26	62	34	54	34
Gemella sanguinis	90	0	0	0	0	0	1242	130	65	0	0	49	21	0	0	0	0	0	240	23	177	66	16	0	22	0	340	44	0	105
Paenibacillus polymyxa	27	102	167	113	48	108	1350	270	229	20	0	302	252	27	23	822	407	301	208	108	513	430	270	122	141	57	102	0	0	567
Brevibacillus sp. NSP2.1	0	22	20	15	7	14	405	90	21	14	0	47	0	13	0	78	37	61	25	29	58	152	35	77	33	0	36	0	14	44
Listeria monocytogenes	1949	12447	2673	3271	295	4165	43260	5900	2541	330	707	4599	2371	734	364	12920	2806	12388	4161	1340	16219	6216	3245	15551	11294	149	8391	133	6244	5381
