name	taxonomy_id	taxonomy_lv	D_AM2	D_AM3	D_AM4	D_AM5	D_AM6	D_AM7	D_AM8	D_AM9	D_AM10	D_AM11	D_AM12	D_AM13	D_AM14	D_AM15	D_AM16	D_AM17	D_AM18	D_AM19	D_AM20	D_AM21	D_AM22	D_AM23	D_AM24	D_AM25	D_AM26	D_AM27	D_AM28	D_AM29	D_AM32	D_AM34	D_AM36	D_AM37	D_AM38	D_AM39	D_AM40	D_AM41	D_AM42	D_AM43	D_AM44	D_AM45	D_AM46	D_AM47	D_AM48	D_TT76	D_TT88	H_BP1	H_BP3	H_BP4	H_BP5	H_BP6	H_BP7	H_TT1	H_TT2	H_TT3	H_TT4	H_TT5	H_TT7	H_TT8	H_TT9	H_TT10	H_TT11	H_TT12	H_TT15	H_TT16	H_TT17	H_TT18	H_TT21	H_TT20	H_TT23	H_TT24	H_TT28	H_TT29	H_TT41	H_TT51	H_TT52	H_TT54	H_TT55	H_TT56	H_TT59	H_TT60	H_TT62	H_TT65	H_TT69	H_TT71	H_TT74	H_TT81
Bifidobacterium longum	216816	S	41	14	4157	75	514	192	65	326	1607	677	353	49	3205	0	92	224	930	377	0	54	374	294	142	36	305	249	435	352	1522	18	75	389	0	151	601	81	50	172	74	105	200	3116	35	1316	0	274	10192	0	0	233	240	623	141	974	0	88	42	2225	635	68	139	22064	202	232	92	4738	91	40	730	1858	562	3232	623	49	4583	270	161	635	163	139	128	1158	229	329	127	0
Bifidobacterium adolescentis	1680	S	17	0	140	0	44	0	56	26	29	23	7	0	275	0	17	30	38	21	114	57	0	0	0	0	18	364	36	15	53	0	15	0	0	17	23	0	0	0	8	0	18	97	0	44	0	10	113	21	0	0	26	17	7	46	45	0	0	31	0	0	0	199	6	69	0	217	6	0	20	53	28	105	0	6	61	24	20	209	6	9	0	22	8	110	9	0
Gardnerella swidsinskii	2792979	S	29	0	980279	140	16	17	203	126	1264	26821	0	0	3714	0	0	594	5404	0	429	0	0	0	44802	0	110	5012	131	115	1590098	58	183	71	0	0	45	189	23	0	0	0	16	2419	0	9357	85	52125	650	56	75	770	0	226624	3621	54525	32	0	0	0	105	0	0	434	145	148	1794	3706090	9725	5898	664	144	292920	1491636	82	4267	267	473	0	0	61	870	3104	498	0	71	12	0
Gardnerella leopoldii	2792978	S	13	0	1014308	187	191	0	0	0	216333	415	0	0	58371	0	0	133	183854	0	0	0	31	0	1035	0	0	101	0	0	50683	0	0	0	34	0	0	0	0	0	0	0	52	1295	0	599378	78	5326	105	0	0	0	0	26991	296	1995	0	0	0	34	13810	0	0	993	0	0	242	54269	253	183	107060	153	8549	242410	0	92	32	127	0	160	0	158	0	25174	0	0	0	0
Gardnerella vaginalis	2702	S	6	0	1887719	11	19	0	62	44	132498	71090	0	0	5555250	481	34	5594	655626	3399	0	90	46	76	19092	73	4132	1015	6646	0	804935	976	108	39	482	163	81	522	16	42	49	0	61	3871980	630	253159	30	29174	5413	0	48	1086	30	93017	29	62937	302	2192	0	752	1977	85	0	16714	317	801	310	2550483	21650	6079	950200	225781	93818	1069409	60	2369	180	230	98	73	13	29	919	659	384	0	112	1085
Blastococcus sp. PRF04-17	2933797	S	21	0	0	0	0	0	47	108	48	0	0	0	0	45	0	122	0	0	121	0	24	39	18	0	0	0	0	0	36	20	19	267	19	0	0	60	0	0	0	0	0	0	27	0	0	0	0	0	0	0	140	0	0	0	50	0	0	0	0	0	0	0	0	340	243	0	0	12	0	25	0	0	0	0	0	0	86	228	33	0	0	359	0	0	28	11
Blastococcus saxobsidens	138336	S	15	0	0	6	0	0	34	173	60	0	0	0	0	45	50	33	9	23	81	0	25	111	0	0	0	6	81	0	10	41	103	188	175	0	0	30	0	0	0	0	0	0	0	0	0	0	56	53	47	18	0	48	0	0	95	0	0	0	24	0	37	0	0	405	153	8	0	0	34	0	41	0	0	0	0	15	582	275	0	0	0	644	0	0	61	0
Thermomonospora amylolytica	1411117	S	5	0	0	0	0	11	0	33	20	0	8	0	0	16	0	50	11	12	0	0	0	0	0	0	15	0	9	11	0	8	26	0	0	0	35	0	0	9	0	0	0	0	0	0	0	8	54	25	33	0	133	0	49	6	28	22	0	0	83	0	8	20	454	32	239	16	58	0	0	0	0	59	0	0	69	28	0	55	0	0	380	34	52	28	0	0
Nakamurella multipartita	53461	S	24	7	0	8	14	0	25	165	45	0	0	11	0	45	0	55	0	9	53	0	0	58	0	0	12	0	61	0	0	0	0	169	0	0	14	168	0	0	5	0	0	0	0	0	0	0	331	0	0	16	15	13	9	0	32	0	0	217	0	0	19	2247	0	64	30	0	0	0	0	68	0	26	0	0	98	73	0	37	0	0	0	119	0	23	0	15
Arabiibacter massiliensis	1870985	S	32	0	0	0	79	0	0	33	0	36	0	0	0	0	0	0	0	9	0	0	0	0	0	0	10	0	23	0	218	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	28	0	0	104	11	0	0	421	0	0	0	79	107	0	0	9434	24	0	0	78	0	1804	0	0	44	158	0	172	0	10	0	0	22	0	0	0
