name	taxonomy_id	taxonomy_lvl	ERR12026990	ERR12026990	ERR12026997	ERR12027002	ERR12027006	ERR12027014	ERR12027016	ERR12027023	ERR12027028	ERR12027036	ERR12027040	ERR12027049	ERR12027058	ERR12027060	ERR12027062	ERR12027070	ERR12027080	ERR12027086	ERR12027089	ERR12027103	ERR12027112	ERR12027117	ERR12027120	ERR12027128	ERR12027134	ERR12027141	ERR12027142	ERR12027144	ERR12027147	ERR12027154	ERR12027158	ERR12027168	ERR12027172	ERR12027184	ERR12027193	ERR12027195	ERR12027201	ERR12027206	ERR12027212	ERR12027221	ERR12027225	ERR12027235	ERR12027243	ERR12027269	ERR12027274	ERR12027284	ERR12027286	ERR12027307	ERR12027314	ERR12027322	ERR12027324	ERR12027327	ERR12027340	ERR12027342	ERR12027347	ERR12027349	ERR12027353	ERR12027357	ERR12027359	ERR12027372	ERR12027380	ERR12027399	ERR12027404	ERR12027407	ERR12027412	ERR12027417	ERR12027421	ERR12027425	ERR12027433	ERR12027437	ERR12027442	ERR12027446	ERR12027451	ERR12027458	ERR12027461	ERR12027470	ERR12027472	ERR12027475	ERR12027483	ERR12027491	ERR12027497	ERR12027502	ERR12027516	ERR12027521	ERR12027532	ERR12027538	ERR12027544	ERR12027552	ERR12027555	ERR12027559	ERR12027562	ERR12027568	ERR12027572	ERR12027580	ERR12027594	ERR12027606	ERR12027606
Corynebacterium sanguinis	2594913	S	26	26	0	0	52	333	0	16	0	16	0	22	0	14	0	197	0	17	0	0	86	0	0	0	0	0	0	0	0	0	0	131	0	590	0	0	0	0	0	0	47	66	0	100	175	0	0	263	0	0	0	0	0	0	0	0	0	0	0	43	0	10	0	0	0	0	0	0	0	0	108	35	0	14	14	0	0	15	153	9	0	0	25	12	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium afermentans	38286	S	11	11	13	0	359	11201	0	24	0	113	39	33	0	3212	0	23315	23	34	0	35	398	0	0	32	0	0	0	0	10	0	11	666	0	34889	40	0	43	0	0	26	78	67	0	947	33707	0	0	1820	79	10	0	0	81	0	22	0	38	8	0	166	0	121	0	6	6	0	9	410	0	0	114	57	0	13	12	29	0	51	57116	36	0	9	15242	30	0	22	8	0	32	30	0	14	0	0	0	0	0
Corynebacterium anserum	2684406	S	6	6	0	0	5	19	0	0	0	22	0	0	0	5	0	167	16	12	0	22	36	0	0	5	0	0	0	0	0	0	0	221	0	612	14	0	0	0	0	0	9	10	0	41	30	0	0	179	6	0	0	0	8	0	0	0	0	0	0	36	0	23	0	0	0	0	0	10	0	0	17	5	0	0	0	0	0	0	14	0	0	6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium kutscheri	35755	S	6	6	0	21	0	16	0	0	0	14	28	0	7	0	0	84	5	0	0	5	32	0	0	0	0	0	0	0	0	0	0	48	0	61	13	0	0	5	0	29	13	9	0	126	47	0	0	101	0	0	0	0	13	0	0	0	0	0	0	11	0	11	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	11	0	0	38	12	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium doosanense	1121358	S	5	5	5	0	7	148	0	0	0	28	0	7	0	6	0	273	5	6	0	17	73	0	0	5	0	0	0	0	0	0	0	201	0	472	21	0	7	0	0	6	44	57	0	166	190	0	0	359	17	0	0	0	0	0	0	0	0	0	0	31	0	13	0	0	8	0	0	8	0	0	52	40	0	6	13	5	0	0	106	13	0	0	20	9	0	0	0	0	0	6	0	0	0	0	0	0	0
Corynebacterium caspium	234828	S	5	5	10	0	13	19	0	0	0	5	0	6	0	6	0	62	15	9	0	23	13	0	0	11	0	0	0	0	0	0	0	31	0	70	9	0	0	0	0	5	0	11	0	18	26	0	0	102	6	0	0	0	0	0	0	0	0	0	0	11	0	7	0	0	0	0	0	0	0	0	16	7	0	0	0	0	0	0	10	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium glucuronolyticum	39791	S	5	5	169	0	966	218	0	560	0	1064	146	625	0	27	0	400	62	39	0	57	152	15	0	35	0	0	0	0	21	0	37	5954	18	2852	5676	0	486	13	0	103	7528	13070	0	6971	347	12	0	1408	386	17	0	0	87	0	40	0	0	7	0	122	0	39	407	38	2325	0	7	39	0	0	7241	8498	0	7	11	8	0	85	160	38	0	26	589	2637	0	14	13	0	11	5	0	0	0	0	0	0	0
Corynebacterium felinum	131318	S	5	5	0	0	0	50	0	0	0	19	0	0	0	6	0	203	7	21	0	19	80	0	0	13	0	0	0	0	0	0	0	150	0	307	15	0	0	0	0	0	31	14	0	197	69	0	0	401	0	7	0	0	0	0	0	0	0	0	0	39	0	16	7	0	0	0	0	0	0	0	29	17	0	0	0	0	0	0	19	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium faecale	1758466	S	5	5	7	0	13	111	0	0	0	13	0	7	0	12	0	238	8	16	0	21	97	0	0	5	0	0	0	0	0	0	0	218	0	358	19	0	8	0	0	0	32	48	0	188	146	0	0	356	0	0	0	0	0	0	0	0	0	0	0	35	0	11	0	0	11	0	0	0	0	0	48	26	0	0	0	0	0	0	23	5	0	0	18	13	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium pseudodiphtheriticum	37637	S	5	5	23	0	107	80	0	21	0	235	12	24	0	43	0	364	99	35	0	7	131	0	0	14	0	0	0	0	0	0	15	231	0	524	33	0	21	0	0	6	155	32	0	2181	118	0	0	355	46	0	0	0	27	0	7	0	18	8	0	181	0	64	0	0	17	0	0	91	0	0	384	36	0	21	15	72	0	5	120	17	0	30	285	8	0	55	8	0	22	9	33	26	0	0	0	0	0
