name	taxonomy_id	taxonomy_lvl	NEG	NC	TT28	TT54	TT20	TT81	TT60	AM26	AM24	AM29	AM13	TT21	AM48	TT55	TT23
Xylanimonas cellulosilytica	186189	S	5	8	7	0	0	8	20	0	0	0	173	0	0	0	0
Ruania halotolerans	2897773	S	14	0	0	0	0	13	18	0	0	0	23	0	0	0	0
Beutenbergia cavernae	84757	S	9	8	7	0	0	18	42	0	0	0	140	0	12	0	0
Corynebacterium tuberculostearicum	38304	S	1954	6089	47572	1139	9347	10960	63171	225	346	624	329	5764	2239	4086	38
Corynebacterium jeikeium	38289	S	1243	87	1254	26	308	329	618	50	101	803	0	48	127	80	0
Corynebacterium gottingense	2041036	S	216	57	822	10	11	141	399	13	76	0	7	0	55	97	0
Corynebacterium urogenitale	2487892	S	152	6	34	0	6	15	28	0	7	0	0	15	0	0	0
Corynebacterium sp. SCR221107	3017361	S	89	1518	880	37	144	1305	1007	8	26	0	16	22	668	42	0
Corynebacterium sp. R4	3049799	S	19	0	37	6	5	0	22	0	0	0	0	14	0	0	0
Corynebacterium sp. LM112	3049801	S	22	9	59	0	9	9	36	0	0	0	0	25	5	8	0
Corynebacterium appendicis	163202	S	129	22	828	13	45	141	2521	10	41	6	6	9	54	27	0
Corynebacterium falsenii	108486	S	118	1269	1594	37	195	2322	1837	9	9	0	23	22	200	70	0
Corynebacterium amycolatum	43765	S	162	91	303	37	365	181	528	8	0	39	12	39	29	19	0
Corynebacterium doosanense	1121358	S	101	0	72	6	0	17	58	6	0	0	11	5	0	10	0
Corynebacterium hadale	2026255	S	121	25	602	33	29	73	407	0	45	0	0	16	35	69	0
Corynebacterium accolens	38284	S	110	1238	2219	63	539	2690	3326	8	16	8	50	100	139	75	0
Corynebacterium zhongnanshanii	2768834	S	80	0	44	0	0	7	12	0	0	0	0	15	8	0	0
Corynebacterium afermentans	38286	S	95	440	2018	37	154	1125	3800	17	81	14	56	38	692	125	0
Corynebacterium auriscanis	99807	S	75	0	55	0	6	0	20	0	0	0	0	6	0	0	0
Corynebacterium ureicelerivorans	401472	S	77	132	561	18	52	290	1936	0	39	0	27	25	167	328	0
Corynebacterium propinquum	43769	S	71	46	144	0	21	97	522	0	0	8	25	25	20	0	5
Corynebacterium urealyticum	43771	S	66	0	78	6	5	12	56	0	0	5	10	14	14	17	0
Corynebacterium glucuronolyticum	39791	S	53	264	4384	786	587	441	632	43	21	0	8	3878	18	831	13
Corynebacterium matruchotii	43768	S	51	123	16071	12	51	248	634	0	11	0	19	13	406	18	0
